review_key	source_key	family_key	work_big	work_mid	name_raw	name_normalized	path_raw	semantic_decision	mapping_type	target_canonical_id	target_canonical_name	owner_default	production_candidate
d2cd1001a51df12bd3fb0c27397f2b5012475096ec3cee7610e75fee346c7e33	09cb2a25b6993de7579712d117539c4fb8f4e7c2907b24df6ed391b6d3a4e9b9	0e7cb038dc0a2250f2c8fc713582ed2fe79cbe67f5e9c0b08c8c8a43ef13900f	토목	관공사 부대공사	적재작업	적재작업	토목 > 관공사 부대공사 > 적재작업	CANONICAL_GAP				HOLD	NO
d34d8d6c19ccae1b9e08a7c51b3f5757f9aad7591f85d8b709e8ef7b44b21f19	301226e3821c48ee50b7c0f2674020006944a1bd65cc59559512c1282eae1efa	f1403c0703a57a01edda9abee1bc15476d3c2ff0f5ef8724b106e5898e745a9d	토목	토공사	양중작업	양중작업	토목 > 토공사 > 양중작업	CANONICAL_GAP				HOLD	NO
d38bc7ab4dd924732d8b7c6b44acfe11e9782aa8f3ee1ac8ef417c86381af700	83724c0cb838f8d72f9f2db48d1e1144d6fd4d3a2616f5ea2303c4e61cd36fcf	0acdd6f6e91785bc8883ca863f907a312b6533f5b151215ca1f37fce8b9b3410	토목	철근콘크리트공사	준비작업	준비작업	토목 > 철근콘크리트공사 > 준비작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
d3b88a55e9d02dc53940fa84bb3b856b443d7aa45b768479eaf8f9e327cfde76	3517825dfe152cf1042b6f35eb37e8e6370bb3f0c730016e8acfc6356f6b233c	cf5fea65784d96e176786807861c6e1dc09cbf17dd41bc7cd1c340efc5171e1b	건축	철골공사	연결작업	연결작업	건축 > 철골공사 > 연결작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
d44f5e1675eee6351cd6cf596d4683b1cbc88eff45eb0d4246b89f081f350c02	e33bc3c981805aee287036bf00ca4a8ff30f2772e751b06a26316b1527f765d1	ef3b17761779d30710ba66b1a0c39ad7c3360cd385349525037715f2c5f8f48c	토목	가설공사	거치작업	거치작업	토목 > 가설공사 > 거치작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
d485a7be3afb1e88e834a8e954761375064c60a3a0475e5f62afef460829f594	b61f023745c4aa0721141ab9e774e4ea88d84aad4199edfc684177fd7bc87465	661b1eba5666bb84171755d9955531e6151203c533db707086e82888b2386540	토목	철근콘크리트공사	고소작업	고소작업	토목 > 철근콘크리트공사 > 고소작업	CANONICAL_GAP				HOLD	NO
d4912d0b1de1c9691ec230340eb33ac65b5c912537a1ee7302acb82a6bccf2f5	5d2ddb69f899a06fc637a0b7517e1d6c729c2824c4d074ffba0c2ef0e209e23a	65626010f2477ae09f3144563507bff74d27169c5612620470c3baef1297b869	건축	수장공사	운반작업	운반작업	건축 > 수장공사 > 운반작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
d491f29b8b7d09be64841fc4b6433863585174b19f521dd9e83411bbaac1df72	4bdb94077f0391e7581aa732f29c8944d2bfc75efc387de1d61fcc4d613eaa23	df6fbe5b23ee09f8601a369c8d5758f13b17f760ef21dcd75ad8a2156deccb7b	토목	관공사 부대공사	타설작업	타설작업	토목 > 관공사 부대공사 > 타설작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
d49de8d68fa211e53e2d5eef5d66a1b1133769109a02c64a0e45d8466fe8ea56	c0364ec77b9e356a6b7ac07f828628ce38a80734d8044a6678f022e763e0b217	0acdd6f6e91785bc8883ca863f907a312b6533f5b151215ca1f37fce8b9b3410	토목	교량공사	준비작업	준비작업	토목 > 교량공사 > 준비작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
d4e3d4c682581b0c0254730cd4138703fca34e25cbaacb00e36e2f47f0fabead	29608bf7470e24bd2d6d36a507c5ad283b63763e5d92ab8adf021a2316392ee6	0756c82cf78ed670c83363f3233e0d198432bafe0a422ed6fc857ca0754e82cc	건축	미장공사	반출작업	반출작업	건축 > 미장공사 > 반출작업	CANONICAL_GAP				HOLD	NO
d60d082c624fd4d25cdabb72efded166fccf32dfc791b12fdc5e826c96d6cf67	015c30f3067e85053f492f4f289ec8df3d331dfe530893ebf172b6c8ee2b8108	1391ca1476e71a2d09c59834e96ab8f45c21ffbf53cce7ae23aed2c4783d2299	건축	미장공사	마감작업	마감작업	건축 > 미장공사 > 마감작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
d6e86114aba72eb80e8ce46df2027a2070044703c4a59eb4248a14d61f679873	8e26511a82d35100c5b830d1eda05ca06035d2c506c8c220dd31951e140ab6e5	f6361061b822a9a71314c4764e7bdc336f7ab6f9979c095e10c4c657a166e203	산업설비	산업설비공사	천공작업	천공작업	산업설비 > 산업설비공사 > 천공작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
d703f6dccbc5440e372174f577c290ee8f1305a595039cd2b2cfed3ca9e4353d	7ffdced66176d56aaf0183e5f5142ee2ef0ce87d0784a1c27b46c03462e95e0f	8c0b57e9750758e2b1fd5835c29669218c2a78a005a18c3ba85bcbd6857c7543	건축	철골공사	항타 및 항발작업	항타 및 항발작업	건축 > 철골공사 > 항타 및 항발작업	CANONICAL_GAP				HOLD	NO
d74df2f9f4625da2076fec540bc9c38df4c16e43d1e466e7278b731eca6c08a3	3c95857535d514d4d505930e0362872b14c69f5e86ef07a8444eb45407738dca	df6fbe5b23ee09f8601a369c8d5758f13b17f760ef21dcd75ad8a2156deccb7b	건축	철근콘크리트공사	타설작업	타설작업	건축 > 철근콘크리트공사 > 타설작업	AMBIGUOUS	AMBIGUOUS			HOLD	NO
d78ad3efd2de5a24f277d15c6960f4b42b5756ccb952ea0a8fd6a87b83b89ecb	97eadf4ffa211434aa1612eac76f17a482962c9eeda1fc1f31820dfab8ba61b3	e7316cf9a23edc1490a432601f518b9184dc64c9b05170a4729e8a61ba35dfe4	토목	강구조물공사	이동	이동	토목 > 강구조물공사 > 이동	AMBIGUOUS	AMBIGUOUS			HOLD	NO
