source_key	parent_source_key	work_big	work_mid	name_raw	name_normalized	path_raw
7609f55c17ca3492559a2ab8605ba6dadfbc07999af4a2add23729d6de41191c	c88d808f9a60676a0f54b61760a2cb1bb083596f00d94e8f8874d3b9e17cddf2	산업설비	가설공사	굴착작업	굴착작업	산업설비 > 가설공사 > 굴착작업
483b6cbe4a1e61ca36d2b228710117335d63bee6f24073c8640dd4f24eab3b04	60e0d4bca0074bb571c00d4eed761a29ee916ea936f0e559123ba966aab66913	산업설비	산업설비공사	굴착작업	굴착작업	산업설비 > 산업설비공사 > 굴착작업
15e134d2cea20474fbac4b9907c646c62a6797698804d26082959c5bcb96ede0	234c53cd209f6bb0eb70a5f940987057e6c272ded8459b5d8ed205582e08e775	산업설비	지반조사	굴착작업	굴착작업	산업설비 > 지반조사 > 굴착작업
80bc2e4189b00848cb1a665228c27373fefb03b0f089373a0a5a343e58ab7db9	c6991388fb908a9c2aad77a041896990e2d55004ed8fc855cb77ec2dc981b72d	전기설비	가설공사	굴착작업	굴착작업	전기설비 > 가설공사 > 굴착작업
bbcd4f3d3736fa7c3cdb8e908119754bad12e0aa98bc661e9dbe352666bf0bb4	d36f80d37be8a8478764149f90b6eb8acd669d1f46b568acd360ea21fded3b73	전기설비	전기설비공사	굴착작업	굴착작업	전기설비 > 전기설비공사 > 굴착작업
df1a5e2b5e585a68ef0ed6ab52001aca7fd6c6da0d132cc5027c1f6123a0f95b	7184418b3260b94cb289fc430ec6870768631cedc0276f08da75d1fd21634329	토목	가설공사	굴착작업	굴착작업	토목 > 가설공사 > 굴착작업
81a7294af5208345ab9a9e00732bb8d0b3f191dd1f473de0b7701e9186fbbaa8	1ffaed9eb99ad7a3e2933a29394d986da2eef6b40a53650f4dae02e33b6f8718	토목	강구조물공사	굴착작업	굴착작업	토목 > 강구조물공사 > 굴착작업
edcd366ee1c0d9d6f69529b81f9cdca359d959bd5c565545f74eb79e63f9502f	6142818dbeca390db750ed5b8ab72ccae2f3848dc1bf54063f0fc7f4d8d552a2	토목	관공사	굴착작업	굴착작업	토목 > 관공사 > 굴착작업
7b9646423a2875931c8072404840d4cb4691242d7eba524ca239b05b37af5c52	7d97163b1558c6a7a2824a97cca8eac37d3e3f1b9c823e21ea840677d1420e38	토목	관공사 부대공사	굴착작업	굴착작업	토목 > 관공사 부대공사 > 굴착작업
d0b6703b403f9204431163c4e85ab7dba61ac9d68b4ee1dc7de2750f5db8185c	2438c2b03171c8e6534f7020c743b9249b389886e7e9d7e081fc1977f09970a2	토목	교량공사	굴착작업	굴착작업	토목 > 교량공사 > 굴착작업
