review_concept_key	canonical_id	node_kind	parent_review_concept_key	parent_canonical_id	name	name_normalized	origin_type	status	approval_id	approval_package_sha	amendment_approval_id	amendment_package_sha	materialization_id
cf6602706da46ce6239cc2d28d0257bf2ea62aa092f0326b2e1409ff8b23e502	c890a1d8-4ae0-449f-869d-61638141e869	PROCESS	8da91d7b42ed495727ee36b4fb2f04b0716b798136eebc272c12941d475071bc	492e4ba6-4b48-4745-8cd8-10546d3ceb57	확성설비공사	확성설비공사	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
cfa0e6b529a757c6df4dc19d9b04d8c97b2d3df168b47da9297db01a960d332b	695a2d4d-8ce2-4516-bd0b-0656bfd5a0b4	PROCESS	284c5f417d61f4d0f2079adaf11077b2db1dfec5af1fc7ca206d6d46748e0037	1d0bd5eb-b7c8-4bed-9ada-c52ccf609496	미장준비공사	미장준비공사	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
cfb52d9ba0bc0f700de3985ceb83668d2509a94cb1154969ad48a8bea3e97ed8	ed593b2a-6e8d-4777-b869-fd28bc3b575d	PROCESS	4d9e8f9fa87bd378789d8cf760fcc530d324b31228a4807c8d19549ba282a0af	365b740b-5b5b-429a-8e6e-d02c53977eda	수영장및분수공사	수영장및분수공사	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
cfba5073ae85c3893b18caa7ea198fc192507e0f8b6e4628cc32f1206b765d64	89cc64a7-aab9-473f-a6a1-b9ce157c51de	TASK	6eca78379c93853863766d02655b1003ca45241d359ae85d92aad4c0ba2d84aa	6f2f4427-709e-41a5-a43f-2b7cc6d6216b	궤도교정및시험	궤도교정및시험	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
cfc210d4f9cffc865aece6b2dc5d3b066d5510af566f98a8f35fc611d1ecf52d	9e4a3ce7-2871-4c97-b27d-345f182df467	PROCESS	9d08608a7869c37de6430fd6bc8d4ab616d9d7366068bf91c791a920227e9601	1f700e5b-1bbf-45ba-bfe4-ccbcbfc736ae	도로안전시설공사	도로안전시설공사	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
d0c7a13ab9d6e2709094682f5ac313eb15eb6ffb6a2d54579a78357a816c9293	ad03eeda-8fe0-438c-9ba8-48282f69060c	TASK	5de714bb17d80b291c3d7e7d3da321d729f8771914677c30ae25f4e14aa01e91	525fab4f-8a50-492c-851c-f6f5a15be109	석재타일밑면붙이기	석재타일밑면붙이기	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
d110c6d24097172be89c4e887ee3135c7dd2ef8fccdbfd37882784acb99f71d3	e7bbec43-9986-4945-9774-180b40d3d365	TASK	8afc78b94512791a17f40d495868bafe70cc4b867c0e77a3e4269f22152f36ac	67981795-50b9-457d-999b-90e1c4bcbc43	혼합골재되메우기	혼합골재되메우기	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
d1a644bf206f36fbba36773f652f7da71e0611ac4f98b5fe7884bda680ddfea4	29e47a59-0b47-4d91-ae68-af1fc7ed9fdb	PROCESS	4550c015794f93c550fc4a407b3d0537ebd3fde8130246cd5dfb9e0da0674984	2014a58c-18ab-4f55-beb4-1884d9261052	LNG및원유저장공사	LNG및원유저장공사	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
d2134479e9678fb0deb39a289d38cd9478423b1377336931ab6e1f1fca9d9a92	0e3987c5-2272-4d01-a961-025c0a4bd863	TASK	4813cf1b2638756cfc45513b10dd2cb87c0c8de7d9084742aa967a9b48ac9c10	556d6799-5eb8-4626-8991-83953a8056ac	관목이식공사	관목이식공사	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
d247d23d1ed4e328c2447c090f6004c4d9eae4f00fa0467f4a36103620df8729	742c2cb1-a9d4-4ac8-a301-af0cba9f59d6	PROCESS	f9cf17b2b2f5c6b7d8fe1ffb539484309590b0c9d771213a593bf60e8c1b046d	1b96d7bd-0fa0-4ae4-8c4e-9c24b0b90b24	석재계단붙이기	석재계단붙이기	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
d269e394152ef8d84bbdecf3fba86926d0eacdc79a0dee36c0525c762c912973	a242b595-4cfe-4cec-b437-4d996752d19d	TASK	6eca78379c93853863766d02655b1003ca45241d359ae85d92aad4c0ba2d84aa	6f2f4427-709e-41a5-a43f-2b7cc6d6216b	분기부궤도부설	분기부궤도부설	PROMOTED_FROM_SOURCE	DRAFT	RISK-04-APPROVE-001	62c2c50e3c0becbe23a686735d1a7e50ed8bce2f3fa23c539d2250b68227c2d7	EMPTY	EMPTY	RISK-04-MATERIALIZE-001
