review_key	source_key	family_key	work_big	work_mid	name_raw	name_normalized	path_raw	semantic_decision	mapping_type	target_canonical_id	target_canonical_name	owner_default	production_candidate	owner_decision	owner_reason
900ea11b6af7fc49a1d728fed27cd68bb3c61ce1d82fea046b8178c314030cc1	a31f569d510a2f20401b24b9d7cf50fc0a1e35701771fac04e211b875112ad66	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	건축	해체 및 철거공사	용접작업	용접작업	건축 > 해체 및 철거공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
9020889ec7e1a00fc6184b2ada68a3f2f60ee01759d9bd012d30653c251dc88b	75670533b6aa835e5a7b46eaf724b1151b6b1b0b8d30afe296748cc4d773613d	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	토목	강구조물공사	용접작업	용접작업	토목 > 강구조물공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
90e0592fced11316339dbe4cd96e02472686ae7561332721d90b7d13dc8107a3	133d647ba4199c08b7a4a0768fe4e04c6509efe924d2e94dde6b1edfc8679d7a	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	토목	철도 및 궤도공사	용접작업	용접작업	토목 > 철도 및 궤도공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
9139768d81cea589b2caeeb78d7070ce48bb62dfdab4df3d5a853b793cdce456	a61d4c8bd691e880b7a152cfba6dce019746923498a212995d85a56c636ee65a	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	토목	토공사	용접작업	용접작업	토목 > 토공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
9379793dd7cc263c5cf0eaf0ee0505b7f43d5fca891998696d4dfb5e33e68a03	8f32ab3b22f856834c24b9aba7fa43b2a0bfe1eccd19f163a49c64b2221957af	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	건축	건축 토공사	용접작업	용접작업	건축 > 건축 토공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
96120419dde7b52811d2ab305e52aff5d8dd86475516de06d0ec243ac39f2254	c284c58a7d300c449a422a04770801985ac5ac24d7b1886c3fa386eaa283c8a5	472845d4fc3f329f9af4a3fd3c6136a2998126cc621e414a74dcd3496c2f3ed8	토목	댐 및 제방공사	장약 및 발파작업	장약 및 발파작업	토목 > 댐 및 제방공사 > 장약 및 발파작업	NARROWER_THAN	NARROWER_THAN	473d69ee-4433-487f-bc43-c35c1f2ea28f	발파굴착	UNDECIDED	YES		
9f28ea126b97d60e334d477318cba0b11009ab3f50abb651e385b485e7c2b534	4b5b6ba51a4c0ddf7ff874adea47c79e83701cb18cea2230b525c9fd49d07f08	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	건축	철근콘크리트공사	용접작업	용접작업	건축 > 철근콘크리트공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
a366d95547d13e0452b7022c1f91c506d8baf16e99767c02473428f14479ba45	8cb46732f9d12d3325adcd257378ed80e3f03338b76809e67abc21a3ec4cf7e7	b45486f292dde403a31c88157aa9a6b6888b5cd1eb5644d44dcab22dbbdc46b2	토목	관공사	인발작업	인발작업	토목 > 관공사 > 인발작업	POSSIBLE_RELATED	POSSIBLE_RELATED	06e686fc-0062-46af-b4f2-72027b7a4668	RockBolt축력및인발측정	HOLD	YES_HOLD_ONLY		
a3a55a8f7032bebaea2ce5e63174d0221601dfbb621895093863a33cd6622a04	868e9c91190869c4400d5bf12af074dc0c40bc21270a595c4f92e5903f15ce6c	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	건축	건축물 부대공사	용접작업	용접작업	건축 > 건축물 부대공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
a616f3abda3007de0a932ff47d92dc7eead4c86432951b47a35946a5beb343f3	bb5f5324a72f603872dd26d7763d9ff63997fbd031ec992149bc08aa97055fef	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	토목	철근콘크리트공사	용접작업	용접작업	토목 > 철근콘크리트공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
adc601d206b8d29d10b93858f1364f48df6fe6b65b0a168ff68a086029251621	57457a331c94593c0ff4836fb335d1cc0ec9c608a858c69c8137b38b697f49a5	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	토목	하천공사	용접작업	용접작업	토목 > 하천공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
b6052a1a19016bfb08c82ef017b3777b76560c1f0a2c125ece09e694bb41e911	4d34982f3f41c9abbfa5c8c8afcb6f901c490f4cd360b58a4f7ca4412f5593b3	472845d4fc3f329f9af4a3fd3c6136a2998126cc621e414a74dcd3496c2f3ed8	건축	해체 및 철거공사	장약 및 발파작업	장약 및 발파작업	건축 > 해체 및 철거공사 > 장약 및 발파작업	NARROWER_THAN	NARROWER_THAN	473d69ee-4433-487f-bc43-c35c1f2ea28f	발파굴착	UNDECIDED	YES		
b6d0f9f88753342fe75d7230d35affed957af6d4bf605172f970be6e7cee273f	e66116b9961e325106cccc5e7499c2b09d9ed8084d7ccbf25e4fbb7fa9268de8	8f6ecd321691ca29c767d1260283d0df3a18f7467bf7342879ba1b42f6971f82	토목	철근콘크리트공사	양생작업	양생작업	토목 > 철근콘크리트공사 > 양생작업	POSSIBLE_RELATED	POSSIBLE_RELATED	3258e587-68ab-40c8-80df-dd4fa0db60b7	콘크리트양생	HOLD	YES_HOLD_ONLY		
bb7c0c36ce7e6792557f751e2c5d1d084c7a1bf7e00d87e5e6bee27d9383c3d2	9c3b76eb27e1290fa3602e6665166e2deb8a1f2b6d3acd58ca4eb1e1766829e4	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	토목	관공사	용접작업	용접작업	토목 > 관공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
c5fa8208e2b14274ca4d321109afea8e6ceda173c17cb3f0c8942e88ffbaf4bb	b5d0624486db8a0a715d43a9aecf5fe5a227e260de15b2af1c4670cb2975acdb	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	토목	관공사 부대공사	용접작업	용접작업	토목 > 관공사 부대공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
c845a074ed23b5822fc1507d841692c3fae21b079a1445e5e73442b2db81dd06	aaf3b02d93e32b6ebae14ce31cb98d5302aa62484b653e11add70b8a9ee91ea8	472845d4fc3f329f9af4a3fd3c6136a2998126cc621e414a74dcd3496c2f3ed8	토목	지반조사	장약 및 발파작업	장약 및 발파작업	토목 > 지반조사 > 장약 및 발파작업	NARROWER_THAN	NARROWER_THAN	473d69ee-4433-487f-bc43-c35c1f2ea28f	발파굴착	UNDECIDED	YES		
daba67f5ab480f81628e311af2cca68173f4822b69ae136460fc0953c9108160	2595c79851c0af268132385ded2b2de9eca13d57e6fd6c29c793f1358bd9aa00	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	건축	수장공사	용접작업	용접작업	건축 > 수장공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
dd9759cac1a81c40a55f00cb98d2ccab06d6c4983f8b607b2e68d7afb74d426d	c7a1dfc6450566681d08082a626ca7eb224c8400bd8b98135bbbc2b919ef5179	472845d4fc3f329f9af4a3fd3c6136a2998126cc621e414a74dcd3496c2f3ed8	토목	토공사	장약 및 발파작업	장약 및 발파작업	토목 > 토공사 > 장약 및 발파작업	NARROWER_THAN	NARROWER_THAN	473d69ee-4433-487f-bc43-c35c1f2ea28f	발파굴착	UNDECIDED	YES		
e29e4132212aaceb8ccaae37ad4e452b545997cdcd9ee0bbebb2f6e98a07888d	a01acb8abb5884545427c7e180ab733ce3365dd75567a98baddefc78e365c706	472845d4fc3f329f9af4a3fd3c6136a2998126cc621e414a74dcd3496c2f3ed8	건축	지반조사	장약 및 발파작업	장약 및 발파작업	건축 > 지반조사 > 장약 및 발파작업	NARROWER_THAN	NARROWER_THAN	473d69ee-4433-487f-bc43-c35c1f2ea28f	발파굴착	UNDECIDED	YES		
e4d191edde0c335089d573f0a61f242b538792db564e6ad5c1ade1993370d45a	1a66ec9ba27cfcba59d16a01941b8c3dbda353aceeb79f8b5c9e7911f7ccd998	8f6ecd321691ca29c767d1260283d0df3a18f7467bf7342879ba1b42f6971f82	토목	관공사	양생작업	양생작업	토목 > 관공사 > 양생작업	POSSIBLE_RELATED	POSSIBLE_RELATED	3258e587-68ab-40c8-80df-dd4fa0db60b7	콘크리트양생	HOLD	YES_HOLD_ONLY		
f0afa42f1f3d756d3ccc4c7198034a24d3bbb28d6ea6e4a26d296bbb5a3f9f1b	e998dc8fb45665e027938e2f90513489918d3e5ac2ebf7d4384661e30f13907e	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	건축	지붕 및 홈통공사	용접작업	용접작업	건축 > 지붕 및 홈통공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
f0f5df2e8d8c9dd2e141c3356356062291f054762e84265097d1f5f313c43f49	c1444e8613c36a523874a39635709a4120c93b03d18d65c7cf44a6b8977a0123	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	산업설비	지반조사	용접작업	용접작업	산업설비 > 지반조사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
fac4a4f85e18efa4f6abdd813588a74fbbf25716ca8a3065039b9f0a698ed876	89db2f248965b088d346152c578dd684072314950ce6a5b3fe784f07447a86c8	3c910f25b445bea6a92ceffeca88fb67009e4f969bf24270daecd9bfb850c5f8	토목	말뚝공사	용접작업	용접작업	토목 > 말뚝공사 > 용접작업	POSSIBLE_RELATED	POSSIBLE_RELATED	bf3841d0-71ea-4464-a7d9-d0dcdc3dfa33	궤도현장용접	HOLD	YES_HOLD_ONLY		
fee66abb0bc11b387386b08870de98d27b27b91ddc046d3ad7a84b9f0ee52c1e	47b4c623034eb5bf5c4d95320a8f05e57941b9fca27b36ec3dc971bc20125f3d	b45486f292dde403a31c88157aa9a6b6888b5cd1eb5644d44dcab22dbbdc46b2	토목	토공사	인발작업	인발작업	토목 > 토공사 > 인발작업	POSSIBLE_RELATED	POSSIBLE_RELATED	06e686fc-0062-46af-b4f2-72027b7a4668	RockBolt축력및인발측정	HOLD	YES_HOLD_ONLY		
