source_key	seed_proposal_key	name	hierarchy_level	source_path	effective_semantic_kind	exclusion_lane	exclusion_basis	owner_approval_state
1322	026f14acf6f05aeb4b0b2457ac0b26874163d4183ab1b42445c4c311b68e0415	회전식(Rotary)시추	W_LEAF	지반조사 > 시추(보링) > 회전식(Rotary)시추	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
1331	94a3d696ab8557aa3c9ae822d0aa2f3fcf4158f89f088fd7ad70599a62e97add	지표면 시험굴착시료	W_LEAF	지반조사 > 샘플링 > 지표면 시험굴착시료	MATERIAL_COMPONENT	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
2171	a1870d5204a8e5f8213a16a66f8898bc98e7942aa19f6fe03edcac605b817070	토사생산 처리장	W_LEAF	토공사 > 토사처리및운반 > 토사생산 처리장	FACILITY_EQUIPMENT	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
2221	ed303ea80bfc6adeed93b59e880983057fda12c56072b641c2eef3c9410f568b	재하공법	W_LEAF	지반개량및지반보강공사 > 표층처리 > 재하공법	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
2222	00413a1b0edb4385f109e4530c83f29b7cb6dce5ebf610a3934c8c42543c007a	압성토공법	W_LEAF	지반개량및지반보강공사 > 표층처리 > 압성토공법	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
2223	510b8551fcb95077d1332e57204d7d31615066bc4e49ee95183bc2aff968f01f	표층배수공법	W_LEAF	지반개량및지반보강공사 > 표층처리 > 표층배수공법	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
2224	795c08a6158f9458e1f5c8e1a9e1e18aee0f375c9d5fdc390b50601687d6e067	샌드매트공법	W_LEAF	지반개량및지반보강공사 > 표층처리 > 샌드매트공법	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
2225	fafc71db2ba8272a901ab2bc58f1ec665ba9804455066c5d03e108e92705b25b	부설재공법(PP PE매트)	W_LEAF	지반개량및지반보강공사 > 표층처리 > 부설재공법(PP PE매트)	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
2226	545ea39064e06f0f5c652863d29a0023fcbfdf60c91530d48a6a142a5c6d3783	화학처리공법	W_LEAF	지반개량및지반보강공사 > 표층처리 > 화학처리공법	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
2231	7a08e0fa71641c3081bcbbbec9d74a1d3d674b63ffaf05c07506287ba2546f4b	샌드드레인	W_LEAF	지반개량및지반보강공사 > 지반배수 > 샌드드레인	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
2232	8ad7651765936f00400eaa97fd8cc56711bcb19c6fb48eea17b04bd5d04de30b	페이퍼드레인	W_LEAF	지반개량및지반보강공사 > 지반배수 > 페이퍼드레인	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
2233	29bf69da095900042e696c297d1517f52b00fa1d2681e74dcf0cb99bb9185fd7	팩드레인	W_LEAF	지반개량및지반보강공사 > 지반배수 > 팩드레인	METHOD	REFERENCE_ONLY	ORIGINAL_REJECT	NOT_APPROVED
