review_concept_key	concept_form	source_key	seed_proposal_key	name	hierarchy_level	source_path	effective_semantic_kind	source_candidate_origin	owner_approval_state
4c0470126a9445cbdda91a0dac821501c19ac277724bd2a0f8b01a89f2c765c3	SINGLETON	1118	21e8cd3229230eba23571658c2dcb262a171d4f06c5753cfc2ab4dc123d5dece	수심측량	W_LEAF	측량 > 기본측량 > 수심측량	TASK	ORIGINAL_KEEP	NOT_APPROVED
8f84674f28f5dfc4bfe1e51031be39013a9c0bfec014e62790fa0098ee835e18	SINGLETON	112	3658974008046bd3fc221b6e66047c06348c85f774c9522ed1f51aa472a37c05	지형측량	W_MID	측량 > 지형측량	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
6809e3b7861c76ec5d26d0c4763354c9388c6581c359eb4b615c453762681846	SINGLETON	113	01f8400cdd53f8eadb7de33e2e7bc2408c6ac7dfab3c10bea6c3a7a32e90a37f	하해측량	W_MID	측량 > 하해측량	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
7362b082fe57b54c4b760adf7a023faab85a842c6fefc63b9662ea58ff2c73b2	SINGLETON	114	526cb30286447d65507429367245fc350de5b50e5d3d7bf450b013c519c36ad0	노선측량	W_MID	측량 > 노선측량	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
744e95bb6e4a96594b2a7ad300501609c2e73264f98d8b4d92b4726208bb59cd	SINGLETON	115	9d3e97129f24bc9073f63ffb3be09a9ce4a07bcef4d522f047fe4c7a1700dbd4	지적측량	W_MID	측량 > 지적측량	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
36d0ddcc880a95a48bd51e7272c8d19e33b4256e82dc8ab9e64e24809ee04ea2	SINGLETON	1151	9023bd55bd21ba3ee334096a753fb7a7fcdef16c5a2b7810321e087ab2bec51f	신규등록측량	W_LEAF	측량 > 지적측량 > 신규등록측량	TASK	ORIGINAL_KEEP	NOT_APPROVED
8a5ad2e2dcbf8667bef87a48c6977f121135878995137a6c32e4058b1be6cf95	SINGLETON	1152	863a4845003c74863d27b360f51f23419cb8627cc24c763147ec4449ee8d1639	등록전환측량 - - 대․중․소 분류대․중․소 분류	W_LEAF	측량 > 지적측량 > 등록전환측량 - - 대․중․소 분류대․중․소 분류	TASK	ORIGINAL_KEEP	NOT_APPROVED
c3782a42aec31a08f6c46c1e238c96eac185b6f01fffd798d5020f3762a78f16	SINGLETON	1153	fd79e39144c800f2a4790b485bce70bf7bdbdbbfe027573d944d1c85dbd42006	분할측량	W_LEAF	측량 > 지적측량 > 분할측량	TASK	ORIGINAL_KEEP	NOT_APPROVED
dde0a314d9ec9cfc983fac1e96d0f7f3458528ebc54c068a44f6073d9c4f531b	SINGLETON	1154	0e79528589534846b7e0e42d4727068217662631e0b13461979fcdb7ba60eb2b	경계복원측량	W_LEAF	측량 > 지적측량 > 경계복원측량	TASK	ORIGINAL_KEEP	NOT_APPROVED
91683dbe4c2e9cfd8fa2e5f56b4ea67aa0e222c69a68a878ac9d0f3b34e56544	SINGLETON	1155	f5958aa1767dccd8f5f4d5c91972a1cd5463ccbd677c8ecefa9fac87dea34f43	지적확정측량	W_LEAF	측량 > 지적측량 > 지적확정측량	TASK	ORIGINAL_KEEP	NOT_APPROVED
1b33acde756d06171cafc114685d2b6ad10055120d1528e7f9291852ec7e8809	SINGLETON	116	9ef82c7da6b51e0baf48e29e4a1ae68d9667fa70a2517946480a57266710b644	시공측량	W_MID	측량 > 시공측량	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
3313a813f7156a19f5903d9739b0f4c14fa98c4c0eb712e7ed0851b78651ee92	SINGLETON	1161	83bbfa12f86b4d6235338d2b33af17a5f2300b326224458b18a05e437ef1f7c0	벤치마킹설치	W_LEAF	측량 > 시공측량 > 벤치마킹설치	TASK	ORIGINAL_KEEP	NOT_APPROVED
df370a7127e79025f7e83abe965d3a105cafdcc55558658c6a5716345f46cafe	SINGLETON	1162	22ff1e6633abf6b69697eb3cad71e6b559bfc008f4503b17fd51bef27ac9e975	중심선측량	W_LEAF	측량 > 시공측량 > 중심선측량	TASK	ORIGINAL_KEEP	NOT_APPROVED
2f283c739eeb7702c2dc1909c9f7c287f6079b039dfda07c3d7dac25d53ea9da	SINGLETON	1163	272b10f1c6dbae52bdcbc102edb066fe926cf4307298b0b71cd891e0536add94	종단측량	W_LEAF	측량 > 시공측량 > 종단측량	TASK	ORIGINAL_KEEP	NOT_APPROVED
33be07b4f4bfad82d747293897345d3507e5145eefb0ff927385f94201681ffd	SINGLETON	1164	ff40f94bb58e9e0d366d0e661f0c15190cfb9cc9b445fb9d27899ed79a8414b3	횡단측량	W_LEAF	측량 > 시공측량 > 횡단측량	TASK	ORIGINAL_KEEP	NOT_APPROVED
16f0a948e713facd927de143bd06bbc9beaafa8ae4be7a514a7f840d3d5f59af	SINGLETON	1165	a82fbe172390f460b6c01e7dd48aa225d4628afe0ca63ea82b59b1ba1a3c5223	면체적측량	W_LEAF	측량 > 시공측량 > 면체적측량	TASK	ORIGINAL_KEEP	NOT_APPROVED
e95758a16e7afb34f50d435468fa380d45304de7012787df4aa63065d9564647	SINGLETON	1166	89b677f0116bc8a3383e05f84ae8d76f9b7c6a880e06bc49598f4761083e263d	공사측량	W_LEAF	측량 > 시공측량 > 공사측량	TASK	ORIGINAL_KEEP	NOT_APPROVED
ee6c41f2ed48ba58329afbe31673c97b6af2e326b35b284237ac74bdfe372b81	SINGLETON	119	ba4bbcb1fe4dfd8e865d45cbfd5b3a5a21f5cee97fb39753a0126260f2ee4cca	기타응용측량	W_MID	측량 > 기타응용측량	PROCESS	ORIGINAL_KEEP	NOT_APPROVED
